subject,idna_subject,expiration_date,epoch
1kdailyprofit.biz,1kdailyprofit.biz,07-may-2021,1620345600.0
1kdailyprofit.co,1kdailyprofit.co,27-jan-2021,1611705600.0
59cn7.com,59cn7.com,14-feb-2021,1613260800.0
5yfi7sy.com,5yfi7sy.com,09-mar-2021,1615248000.0
actextdev.com,actextdev.com,16-jul-2021,1626393600.0
ad2up.com,ad2up.com,12-mar-2021,1615507200.0
adaranth.com,adaranth.com,05-mar-2021,1614902400.0
adfuture.cn,adfuture.cn,12-sep-2021,1631404800.0
adsunflower.com,adsunflower.com,12-sep-2021,1631404800.0
advmob.cn,advmob.cn,12-sep-2021,1631404800.0
amptylogick.com,amptylogick.com,13-jul-2021,1626134400.0
analyticspage.tools,analyticspage.tools,04-jun-2021,1622764800.0
api-spotify.net,api-spotify.net,27-jul-2021,1627344000.0
appmakedev.xyz,appmakedev.xyz,16-jul-2021,1626393600.0
appslinker.net,appslinker.net,13-jul-2021,1626134400.0
ashleyrnadison.com,ashleyrnadison.com,09-jun-2021,1623196800.0
attacketslovern.info,attacketslovern.info,04-may-2021,1620086400.0
auslogics.com,auslogics.com,11-may-2024,1715385600.0
beeforced.com,beeforced.com,18-apr-2021,1618704000.0
best2018games.com,best2018games.com,05-jul-2021,1625443200.0
bestadbid.com,bestadbid.com,10-jul-2021,1625875200.0
bfmio.com,bfmio.com,03-mar-2025,1740960000.0
biosagentplus.com,biosagentplus.com,05-aug-2022,1659657600.0
biosframe.com,biosframe.com,11-feb-2021,1613001600.0
blickkeily.com,blickkeily.com,08-may-2021,1620432000.0
boudja.com,boudja.com,04-aug-2021,1628035200.0
brounelink.com,brounelink.com,13-jul-2021,1626134400.0
browfileext.com,browfileext.com,10-jul-2021,1625875200.0
browlinkdev.xyz,browlinkdev.xyz,16-jul-2021,1626393600.0
bugdepromo.com,bugdepromo.com,06-jul-2021,1625529600.0
buycritical.com,buycritical.com,18-mar-2021,1616025600.0
caplinkff.com,caplinkff.com,23-jul-2021,1626998400.0
captiontxt.com,captiontxt.com,18-jun-2021,1623974400.0
cdn-js.net,cdn-js.net,10-aug-2021,1628553600.0
cdnclntr.com,cdnclntr.com,19-apr-2021,1618790400.0
changemind.monster,changemind.monster,29-aug-2021,1630195200.0
check-these-girls-on.live,check-these-girls-on.live,12-feb-2021,1613088000.0
check-this-out-now.online,check-this-out-now.online,31-may-2021,1622419200.0
ciclonrox.com,ciclonrox.com,08-aug-2021,1628380800.0
cjl58f3agc.com,cjl58f3agc.com,16-apr-2021,1618531200.0
clicksapp.net,clicksapp.net,21-jun-2021,1624233600.0
clipsold.com,clipsold.com,05-jul-2021,1625443200.0
cloffext.com,cloffext.com,05-jul-2021,1625443200.0
cloneclicks.com,cloneclicks.com,08-may-2021,1620432000.0
clonyjohn.com,clonyjohn.com,24-jul-2021,1627084800.0
closemike.com,closemike.com,21-jun-2021,1624233600.0
cloudesky.com,cloudesky.com,25-mar-2021,1616630400.0
cobalten.com,cobalten.com,13-jun-2021,1623542400.0
coconut.rocks,coconut.rocks,16-may-2021,1621123200.0
colextidapp.com,colextidapp.com,12-jul-2021,1626048000.0
comandfire.net,comandfire.net,13-jul-2021,1626134400.0
comtakelink.xyz,comtakelink.xyz,16-jul-2021,1626393600.0
contendevff.com,contendevff.com,06-jul-2021,1625529600.0
cookiereports.com,cookiereports.com,23-apr-2021,1619136000.0
cosmeticsrc.com,cosmeticsrc.com,06-feb-2021,1612569600.0
covid19-info.online,covid19-info.online,16-mar-2021,1615852800.0
covid19quiz.com,covid19quiz.com,07-mar-2021,1615075200.0
cpm20.com,cpm20.com,21-jul-2021,1626825600.0
craftprimes.com,craftprimes.com,20-apr-2021,1618876800.0
cybersecuritiesinc.net,cybersecuritiesinc.net,25-mar-2021,1616630400.0
cybertransfer.net,cybertransfer.net,02-feb-2021,1612224000.0
dashvintage.biz,dashvintage.biz,06-mar-2021,1614988800.0
data1rtb.com,data1rtb.com,04-may-2021,1620086400.0
dataanalytic.biz,dataanalytic.biz,16-may-2021,1621123200.0
datapro.website,datapro.website,29-jun-2021,1624924800.0
deloplen.com,deloplen.com,29-mar-2021,1616976000.0
devappstor.com,devappstor.com,23-jul-2021,1626998400.0
digitaloptout.com,digitaloptout.com,04-jun-2022,1654300800.0
